model,train_alpha,score_type,mean_score,std_score,q95,q99
GAT_h16_l3_head1_a0.7,0.7,combined_score,0.8480809330940247,0.5766504406929016,1.998409390449524,2.678863525390625
GAT_h16_l3_head1_a0.7,0.7,population_error,0.9042091369628906,0.9104917049407959,2.8483664989471436,3.9308087825775146
GAT_h16_l3_head1_a0.7,0.7,country_score,0.7638884782791138,0.2852190434932709,0.9986393451690674,0.9994686245918274
GAT_h16_l3_head1_a0.9,0.9,combined_score,1.0646851062774658,0.5707734227180481,2.130559206008911,2.726304054260254
GAT_h16_l3_head1_a0.9,0.9,population_error,1.200552225112915,0.9155435562133789,2.9194083213806152,3.9263617992401123
GAT_h16_l3_head1_a0.9,0.9,country_score,0.8608843684196472,0.17552953958511353,0.9986496567726135,0.99948650598526
GAT_h16_l3_head2_a0.1,0.1,combined_score,0.823223888874054,0.600494921207428,2.0661821365356445,2.733705997467041
GAT_h16_l3_head2_a0.1,0.1,population_error,0.9479494094848633,0.9422121644020081,2.864018678665161,4.01215934753418
GAT_h16_l3_head2_a0.1,0.1,country_score,0.6361353993415833,0.33977898955345154,0.9991528987884521,0.9999387860298157
GAT_h16_l3_head2_a0.3,0.3,combined_score,0.820521891117096,0.5590428113937378,2.042616128921509,2.612405300140381
GAT_h16_l3_head2_a0.3,0.3,population_error,0.89048832654953,0.8815847635269165,2.8203413486480713,3.9786477088928223
GAT_h16_l3_head2_a0.3,0.3,country_score,0.7155719995498657,0.3049909472465515,0.9991125464439392,0.9998480081558228
GAT_h16_l3_head2_a0.5,0.5,combined_score,0.8428651094436646,0.5571823120117188,2.005326747894287,2.5966684818267822
GAT_h16_l3_head2_a0.5,0.5,population_error,0.9029856324195862,0.8846717476844788,2.870034694671631,3.7159311771392822
GAT_h16_l3_head2_a0.5,0.5,country_score,0.7526842355728149,0.2705945670604706,0.9992267489433289,0.999806821346283
GAT_h16_l3_head2_a0.7,0.7,combined_score,0.8079766035079956,0.566060483455658,2.034497022628784,2.585167407989502
GAT_h16_l3_head2_a0.7,0.7,population_error,0.8401235938072205,0.8993841409683228,2.830758571624756,3.719315767288208
GAT_h16_l3_head2_a0.7,0.7,country_score,0.7597562074661255,0.28473368287086487,0.9989098906517029,0.9997250437736511
GAT_h16_l3_head2_a0.9,0.9,combined_score,0.8323580622673035,0.5650202631950378,2.040663003921509,2.5466437339782715
GAT_h16_l3_head2_a0.9,0.9,population_error,0.852811336517334,0.8938871622085571,2.8032174110412598,3.6499762535095215
GAT_h16_l3_head2_a0.9,0.9,country_score,0.8016782402992249,0.2420499324798584,0.9982113242149353,0.9990870356559753
GAT_h16_l3_head4_a0.1,0.1,combined_score,0.8152605295181274,0.5860074758529663,2.0378870964050293,2.6243960857391357
GAT_h16_l3_head4_a0.1,0.1,population_error,0.9088525772094727,0.920830488204956,2.869730234146118,3.954617977142334
GAT_h16_l3_head4_a0.1,0.1,country_score,0.6748722195625305,0.3121979236602783,0.9988895654678345,0.9998779296875
GAT_h16_l3_head4_a0.3,0.3,combined_score,0.8267905712127686,0.5311640501022339,1.9005351066589355,2.502573251724243
GAT_h16_l3_head4_a0.3,0.3,population_error,0.889076828956604,0.8313228487968445,2.650439500808716,3.690692901611328
GAT_h16_l3_head4_a0.3,0.3,country_score,0.7333610653877258,0.29724690318107605,0.9991028308868408,0.999704122543335
GAT_h16_l3_head4_a0.5,0.5,combined_score,0.8788622617721558,0.5790433287620544,2.0910353660583496,2.5087313652038574
GAT_h16_l3_head4_a0.5,0.5,population_error,0.9653370976448059,0.9118789434432983,2.893120765686035,3.655479907989502
GAT_h16_l3_head4_a0.5,0.5,country_score,0.7491497993469238,0.29576268792152405,0.9989944100379944,0.9997389912605286
GAT_h16_l3_head4_a0.7,0.7,combined_score,0.794075071811676,0.5984113216400146,2.094604253768921,2.6534836292266846
GAT_h16_l3_head4_a0.7,0.7,population_error,0.828754186630249,0.9466039538383484,2.932173728942871,3.8998618125915527
GAT_h16_l3_head4_a0.7,0.7,country_score,0.7420562505722046,0.28667816519737244,0.9987524151802063,0.9996129274368286
GAT_h16_l3_head4_a0.9,0.9,combined_score,0.7873014211654663,0.5514855980873108,1.9690895080566406,2.429149866104126
GAT_h16_l3_head4_a0.9,0.9,population_error,0.7750817537307739,0.8795251250267029,2.685307025909424,3.5365703105926514
GAT_h16_l3_head4_a0.9,0.9,country_score,0.805631160736084,0.24179847538471222,0.9983811974525452,0.9989362359046936
GAT_h16_l4_head1_a0.1,0.1,combined_score,1.0557795763015747,0.5774751901626587,2.2109925746917725,2.6955530643463135
GAT_h16_l4_head1_a0.1,0.1,population_error,1.2335286140441895,0.9155446887016296,3.0546016693115234,3.9135217666625977
